Topic,Count,Name,Representation,Representative_Docs
0,90,0_sunak_rishi_rishi sunak_tory,"['sunak', 'rishi', 'rishi sunak', 'tory', 'tories', 'petrol', 'gove', 'petrol diesel', 'diesel', 'starmer']",sunak s tweet associating labour with criminal gangs labelled desperate and pathetic by shadow cabinet minister as it happened rishi sunak has been called desperate and pathetic by a member of the shadow cabinet after posting a message on t | wishful thinking for sunak to say uk on course to meet emissions targets says climate change committee boss as it happened rishi sunak has vowed to press ahead with watering down key green measures despite intense criticism because he still | rishi sunak delays some green targets and scraps others as he reveals net zero policy shift as it happened rishi sunak has announced he is delaying the ban on the sale of new petrol and diesel cars in the uk from to triggering criticism fro
1,70,1_albanese_voice_labor_greens,"['albanese', 'voice', 'labor', 'greens', 'police', 'australians', 'nsw', 'indigenous', 'sydney', 'senate']",push for inquiry into flights decision succeeds as it happened and that s where we ll wrap up today thanks so much for your company here s a little of what we learned a senate inquiry will be held into the government s decision in july to b | faruqi says housing fund standoff not about playing political games as it happened with that we ll wrap up our live coverage of the day s news here s a summary of the main news developments in the senate jacqui lambie claimed there was a cu | greens and coalition unite to refer bill to its own inquiry as it happened that s where we ll leave the blog for today thanks so much for joining us here is a wrap of the day s biggest stories greens senator david shoebridge has said pwc wo
2,61,2_summit_amazon_assembly_general assembly,"['summit', 'amazon', 'assembly', 'general assembly', 'africa', 'zelenskiy', 'debt', 'lula', 'nations', 'peace']",rifts over ukraine disrupt un summit on crises in the global south this year s un general assembly is supposed to be about the global south addressing the social and economic development issues that many of the world s poorer countries felt | zelenskiy calls for russia to lose un veto power un chief says humanity has opened gates of hell on climate as it happened it s pm eastern time here s a recap of today s developments humanity has opened the gates to hell by allowing the cli | israeli ambassador protests as iranian president speaks as it happened that s all for our live coverage today thanks for following along some key links and highlights from the day volodymyr zelenskiy told the un general assembly that russia
3,59,3_johnson_sunak_tory_tories,"['johnson', 'sunak', 'tory', 'tories', 'boris', 'mps', 'starmer', 'boris johnson', 'snp', 'rishi']",covid inquiry george osborne completely rejects claims austerity weakened health and social care capacity as it happened downing street has refused to say if rishi sunak believes boris johnson misled mps declining repeatedly to express any  | labour and snp face byelection battle after margaret ferrier suspension as it happened mps have voted to suspend the former snp mp margaret ferrier from parliament for days for breaching covid regulations potentially paving the way for a by | boris johnson resigns as mp with immediate effect and says he is bewildered and appalled at being forced out as it happened boris johnson is stepping down as an mp with immediate effect and says he is bewildered and appalled at being forced
4,59,4_vapes_hoarding_single use_allergies,"['vapes', 'hoarding', 'single use', 'allergies', 'dog', 'allergy', 'wilson', 'plastic', 'sex', 'toilet']",call for uk ban on single use vapes as more than m discarded each week five million single use vapes are being thrown away in the uk every week a fourfold increase on research has found this amounts to eight vapes a second being discarded w | it s one of the great mysteries of our time why extreme food allergies are on the rise and what we can do about them when five year old benedict blythe woke up on the morning of december he was excited that christmas was coming he came down | councils in england and wales join calls for ban on disposable vapes councils are joining paediatricians in calling for a ban on disposable vapes owing to the environmental damage they cause and the soaring number of young people taking up 
5,59,5_cop_uae_musk_jaber,"['cop', 'uae', 'musk', 'jaber', 'al jaber', 'lobbyists', 'al', 'twitter', 'adnoc', 'shell']",un climate summit host uae failed to report methane emissions to un the united arab emirates which will run the crucial cop un climate summit in december has failed to report its emissions of the powerful greenhouse gas methane to the un fo | absolute scandal uae state oil firm able to read cop climate summit emails the united arab emirates state oil company has been able to read emails to and from the cop climate summit office and was consulted on how to respond to a media inqu | what is the uae cop plan of climate action sultan al jaber president of the cop un climate summit to be held this november in the united arab emirates has laid out his long awaited plan of action at a meeting of governments in brussels the 
6,57,6_bank_starmer_uaw_strike,"['bank', 'starmer', 'uaw', 'strike', 'gdp', 'sunak', 'reeves', 'rose', 'oxford', 'raac']",rishi sunak says he told china actions to undermine british democracy are completely unacceptable the politics blog is closing now here s a summary of the day s key developments regarding the arrest of the chinese parliamentary researcher p | rachel reeves defended natwest boss as victim of bullying day before starmer said she was right to quit as it happened dame alison rose the chief executive of natwest group has stood down after a row over the closure of nigel farage s bank  | uk economy avoids stagnation with growth between april and june as it happened time for a recap fears that the uk economy could drop into recession are still swirling despite better than expected gdp data released this morning the uk econom
7,56,7_coal_transmission_grid_snowy,"['coal', 'transmission', 'grid', 'snowy', 'fired', 'eraring', 'storage', 'coal fired', 'lines', 'victoria']",investment in new australian wind and solar farms stalls amid raft of barriers report finds investment in new wind and solar farms has all but stalled with developers facing a raft of barriers despite strong political support the clean ener | hot el ni o summer brings elevated risk of power blackouts to eastern australia operator warns eastern australia requires imminent and urgent investment in energy to bolster the reliability of the electricity grid the australian energy mark | australia urgently needs a grid upgrade but the march of new power lines faces a bush revolt if you ask paul and andrea sturgess how much their view is worth the answer is priceless to the electricity transmission network operator transgrid
8,52,8_ulez_air pollution_khan_clean air,"['ulez', 'air pollution', 'khan', 'clean air', 'zone', 'vehicle', 'drivers', 'air quality', 'traffic', 'emission']",sadiq khan hits back at criticism of london ulez expansion sadiq khan has hit back at criticism of the expansion of the ultra low emission zone ulez and accused the conservatives of creating a bogus war on the motorist the scheme which was  | green policies are the new brexit a day on the frontline of london s clean air zone on station road in chingford it is not hard to find people with strong opinions about ulez the ultra low emissions zone that was extended to london s outer  | no s ulez stance reverses decades of clean air progress says sadiq khan rishi sunak has put decades of progress on clean air into reverse and now risks stunting the lungs of london s children by failing to support the expansion of the capit
9,46,9_coal_capsule_middle arm_arm,"['coal', 'capsule', 'middle arm', 'arm', 'sample', 'samples', 'methane', 'nt', 'middle', 'dust']",albanese government knew sustainable darwin harbour project would be used for gas export documents show the federal government knew wharves at the proposed sustainable middle arm development on darwin harbour would be used for gas export do | revealed documents detail key players behind vast australian fossil fuel expansion in early the lobbying firm dragoman met its client the northern territory government to discuss how to convince the federal government to support a vast new  | a treasure for scientific analysis nasa holds bennu asteroid sample press conference as it happened it is slightly past pm in utah where the historic sample capsule from nasa s osiris rex mission carrying samples from the asteroid bennu lan
10,42,10_steel_bills_cap_tata,"['steel', 'bills', 'cap', 'tata', 'price cap', 'ofgem', 'port talbot', 'talbot', 'energy bills', 'offshore wind']",welsh steelworks at breaking point over the cost of cleaning up its act at the port talbot steelworks on the south wales coast two metre blast furnaces dominate the skyline the plant has loomed over the town since an integrated steelworks w | pressure for social tariff with british energy bills to rise for many despite price cap cut as it happened the average cost of an annual household energy bill in great britain has dropped below for the first time in months but that average  | job cut fears as port talbot state aid deal announced company insolvencies jump as it happened time for a recap the uk government has agreed a m support package for tata steel to secure the future of the port talbot steelworks under the pla
11,40,11_north sea_bp_licences_sunak,"['north sea', 'bp', 'licences', 'sunak', 'drilling', 'scotland', 'energy security', 'ect', 'rishi sunak', 'rishi']",dismay as rishi sunak vows to max out uk fossil fuel reserves rishi sunak has pledged to max out the uk s oil and gas reserves as he revealed a new round of intensive north sea drilling which experts said could be catastrophic for the clima | sunak s failing windfall tax enabling oil giants to avoid paying billions say labour and lib dems as it happened here s a roundup of the key developments from the day a taskforce has been launched to ensure the uk has the right skills in th | sunak says approving new licences for oil and gas drilling entirely consistent with net zero plan as it happened here s a roundup of the key developments from the day the prime minister said new oil and gas drilling licences for the north s
12,39,12_trump_donald_donald trump_republican,"['trump', 'donald', 'donald trump', 'republican', 'joe biden', 'federal', 'charges', 'republicans', 'white house', 'presidential']",judge dismisses trump s countersuit against e jean carroll that claimed she defamed him as it happened that s all for today s live blog here are some of the biggest news events of the day attorneys for donald trump filed a response to feder | donald trump indictment merrick garland defends special prosecutor jack smith in first comments on charges live here s a quick recap of today s developments several republican candidates have showed willingness to challenge donald trump s c | joe and jill biden land in hawaii to survey wildfire devastation live that does it for today s liveblog here are some of the big events from the day joe and jill biden visited the town of lahaina today they took an aerial tour of the devast
13,39,13_habeck_screen_germany_hydrogen,"['habeck', 'screen', 'germany', 'hydrogen', 'apple', 'phone', 'doughnut', 'samsung', 'apps', 'android']",ursula von der leyen praises watered down vehicle emissions compromise as it happened germany s vice chancellor robert habeck has called on supporters of environmental reforms to shed their reputation for moral superiority and focus on havi | samsung galaxy z fold review the most powerful folding phone tablet samsung s latest folding phone tablet sets new standards for the most hi tech of gadgets and with it comes a very high price tag the galaxy z fold is an important update fo | the trials of robert habeck is the world s most powerful green politician doomed to fail this summer when i visited him in his office in berlin the most powerful green politician in the world was at a low point it was the last day of the pa
14,37,14_wildfires_smoke_air quality_fires,"['wildfires', 'smoke', 'air quality', 'fires', 'maui', 'hawaii', 'wildfire', 'canadian', 'lahaina', 'alerts']",canada wildfires blazes intensifying due to climate crisis says kamala harris trudeau accuses opposition of inaction as it happened it is slightly past pm in new york city here is a wrap up of the day s key events in a tweet on thursday us  | texas heatwave blamed for deaths as scorching temperatures and smoke spread across us as it happened here s a recap of today s developments huge swaths of the us continue to face extreme weather as temperatures persist into the triple digit | canada wildfires smoke climate change accelerated conditions says new york mayor as canada battles more than blazes as it happened it is nearly pm in new york city where the skies have been shrouded in a thick layer of yellow smokey haze al
15,36,15_onshore_turbines_windfarms_heat pumps,"['onshore', 'turbines', 'windfarms', 'heat pumps', 'pumps', 'offshore wind', 'auction', 'onshore wind', 'windfarm', 'developers']",blow to rishi sunak as offshore wind auction appears to have zero bidders no energy companies have submitted bids in the government s offshore wind auction sources have said in what would be a significant blow to rishi sunak s plans to meet | wednesday briefing green light for windfarms as tories ease their de facto ban good morning there was a time under the leadership of david cameron that the conservative party had the ambition of becoming the greenest government ever but by  | offshore wind expecting to lose out in auction for uk financial help britain s offshore wind industry is expecting to lose out on financial help for projects toward meeting the uk s climate goals because soaring inflation means developers a
16,36,16_sewage_rivers_england_thames,"['sewage', 'rivers', 'england', 'thames', 'water companies', 'river', 'natural england', 'nutrient', 'wildlife', 'thames water']",ministers may have broken law over sewage dumping in england says watchdog the government and regulators may have broken the law by failing to stem raw sewage dumping into rivers by water companies in england the new independent environment | treated and untreated sewage greatest threat to river biodiversity says study pollution from treated and untreated sewage is the greatest threat to river biodiversity causing more damage than runoff from farms according to research there is | rishi sunak took helicopter to housebuilding visit where he defended government s green credentials as it happened here is a roundup of the day s main headlines scrapping eu era environmental protections on nutrient neutrality will allow fo
17,36,17_species_mining_deep sea_wild,"['species', 'mining', 'deep sea', 'wild', 'sea mining', 'kelp', 'farming', 'japanese', 'orkney', 'ocean']",canada calls for halt to deep sea mining amid fears of ecological devastation canada has joined a growing list of nations calling for a pause on deep sea mining in international waters amid fears the nascent untested industry could cause ec | future of deep sea mining hangs in balance as opposition grows the list of countries calling for a pause on deep sea mining continued to grow this week ahead of a key moment that mining companies hope will launch the fledgling industry and  | james cameron supports deep sea mining scientists say it s a huge risk who s right in an exclusive interview with guardian seascape last saturday james cameron argued that it is less wrong to mine the deep sea than mining on land i ve seen 
18,35,18_epa_chemicals_plastic_chemical,"['epa', 'chemicals', 'plastic', 'chemical', 'plastics', 'octopus', 'toxic', 'portland', 'drinking water', 'drinking']",epa s new definition of pfas could omit thousands of forever chemicals the us environmental protection agency epa office responsible for protecting the public from toxic substances has changed how it defines pfas for a second time since a m | drinking water of millions of americans contaminated with forever chemicals drinking water consumed by millions of americans from hundreds of communities spread across the united states is contaminated with dangerous levels of toxic chemica | in our blood how the us allowed toxic chemicals to seep into our lives for decades it was the secret behind the magic show of homemaking across the us applied to a pan it could keep a fried egg from sticking to the surface soaked into a car
19,27,19_russian_ukrainian_military_grain,"['russian', 'ukrainian', 'military', 'grain', 'black sea', 'forces', 'odesa', 'ministry', 'moscow', 'kyiv']",nato chief warns nations must prepare for a long war as it happened thank you for following the guardian s live rolling coverage of ukraine s war against the russian invasion that s all for sunday see the top headlines here this is jem bart | russia ukraine war us cluster bombs being used by kyiv against russia white house confirms as it happened that concludes the guardian s russia ukraine war live blog here s what happened today the un security council will meet tomorrow over  | russia ukraine war live ukraine claims to have killed commander of russia s black sea fleet as it happened ukraine claimed it has killed adm viktor sokolov the commander of russia s black sea fleet along with other officers in one of kyiv s
